negative_lm,positive_lm,negative_swn,positive_swn,Date,Price,lm_prediction,swn_prediction,actual
0,0,0,0,2000,64.5625,SELL,SELL,SELL
0,0,0,0,2003,21.85,SELL,SELL,BUY
0,0,0,0,2004,50.400002,SELL,SELL,SELL
0.534186277,0.846214285,0,1,2005,43.220001,BUY,BUY,BUY
0.526354291,0.83086543,0.185222848,0,2006,44.82,BUY,SELL,SELL
0.785260215,0.876927851,0.491386769,0,2007,37.669998,BUY,SELL,BUY
0.92671472,0.931350319,0.56054042,0.315164051,2008,77.699997,BUY,SELL,SELL
0.982557828,0.973697368,0.999729693,1,2009,58.82,SELL,BUY,BUY
0.851439336,0.929774096,0.989949494,1,2010,125.410004,BUY,BUY,BUY
0.386957348,0.66267584,0,1,2011,169.639999,BUY,BUY,BUY
0.380736518,0.814049898,0.086629616,1,2012,194.440002,BUY,BUY,BUY
0.929063514,0.91059689,0.881343419,0.256763736,2013,265.5,SELL,SELL,BUY
0.933426085,0.929890003,0.913222849,0.256763736,2014,358.690002,SELL,SELL,SELL
0.939041322,0.892414601,0.844555833,0,2015,354.529999,SELL,SELL,BUY
0.931558533,0.964532732,0.942056138,0.928954546,2016,587,BUY,SELL,BUY
0.980628752,0.989446446,0.999273758,0.992862948,2017,823.47998,BUY,SELL,BUY
0.960185556,0.958020773,0.954765626,1,2018,1450.890015,SELL,BUY,BUY
0.970912603,0.968837017,0.999178162,1,2019,1718.72998,SELL,BUY,BUY
0.968070218,0.961965639,0.998921118,0.992862948,2020,2008.719971,SELL,SELL,BUY
0.844221182,0.903159461,0.641991068,0.370193803,2021,3206.199951,BUY,SELL,TBD
