Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,0.092908,0.096026,0.092908,0.094467,0.059378,3568299
1962-01-08,0.094467,0.100391,0.092285,0.096650,0.060751,6615387
1962-01-15,0.096650,0.097273,0.091038,0.094779,0.059574,2165036
1962-01-22,0.095403,0.098520,0.092908,0.092908,0.058398,2445688
1962-01-29,0.092908,0.096338,0.092285,0.094779,0.059574,3167367
1962-02-05,0.094779,0.099144,0.094155,0.098520,0.061926,5172031
1962-02-12,0.098520,0.101326,0.097273,0.099767,0.062710,5693242
1962-02-19,0.099767,0.099767,0.097273,0.097273,0.061142,1643824
1962-02-26,0.096026,0.096338,0.093220,0.095091,0.059771,2245223
1962-03-05,0.095403,0.096961,0.093220,0.094779,0.059574,1603730
1962-03-12,0.095091,0.099144,0.095091,0.097897,0.061534,1764104
1962-03-19,0.097897,0.098832,0.094155,0.094155,0.059335,1683918
1962-03-26,0.094155,0.094779,0.091350,0.093220,0.058746,1443358
1962-04-02,0.093220,0.094155,0.091661,0.092597,0.058353,1483451
1962-04-09,0.092597,0.093532,0.084802,0.086673,0.054620,3006995
1962-04-16,0.086985,0.092597,0.086985,0.091038,0.057371,2325409
1962-04-23,0.092285,0.094467,0.089167,0.089167,0.056192,2806528
1962-04-30,0.087608,0.087920,0.085426,0.086673,0.054620,1844290
1962-05-07,0.086049,0.086673,0.076073,0.077943,0.049119,3047087
1962-05-14,0.077943,0.082932,0.077943,0.079814,0.050298,2004663
1962-05-21,0.079814,0.082308,0.076073,0.077943,0.049119,3367834
1962-05-28,0.077943,0.082308,0.070772,0.079814,0.050298,11907698
1962-06-04,0.079502,0.080437,0.074202,0.078567,0.049512,4530538
1962-06-11,0.077320,0.077320,0.064849,0.071396,0.044993,4289980
1962-06-18,0.071396,0.073267,0.067967,0.067967,0.042970,2806528
1962-06-25,0.067343,0.068590,0.065161,0.066719,0.042181,2686248
1962-07-02,0.065472,0.071084,0.065472,0.067967,0.042970,1844290
1962-07-09,0.067967,0.074202,0.067967,0.073267,0.046321,3889045
1962-07-16,0.072955,0.072955,0.069837,0.071708,0.045335,1242891
1962-07-23,0.071708,0.071708,0.066719,0.067343,0.042576,2365501
1962-07-30,0.067967,0.071396,0.067967,0.069214,0.043759,2205129
1962-08-06,0.070149,0.072331,0.070149,0.071084,0.044941,2565969
1962-08-13,0.070772,0.074826,0.069837,0.074826,0.047307,3488114
1962-08-20,0.075449,0.080749,0.075449,0.080749,0.051051,3488114
1962-08-27,0.080749,0.081373,0.074826,0.077943,0.049277,1764104
1962-09-03,0.077320,0.077320,0.073890,0.073890,0.046715,721679
1962-09-10,0.073578,0.074202,0.071708,0.072020,0.045533,1042425
1962-09-17,0.071708,0.072331,0.068590,0.068590,0.043513,1042425
1962-09-24,0.068590,0.068590,0.063913,0.063913,0.040546,2565968
1962-10-01,0.063913,0.065784,0.061731,0.064849,0.041139,2084850
1962-10-08,0.064849,0.065161,0.062355,0.062978,0.039952,841959
1962-10-15,0.062978,0.063602,0.061108,0.061108,0.038766,1363171
1962-10-22,0.060796,0.060796,0.052378,0.053625,0.034019,6013989
1962-10-29,0.057366,0.064849,0.057366,0.064537,0.040941,3608394
1962-11-05,0.066408,0.067967,0.063602,0.067343,0.042721,3448019
1962-11-12,0.068902,0.074202,0.068902,0.072331,0.045886,3367834
1962-11-19,0.072955,0.076384,0.072955,0.074826,0.047469,2766434
1962-11-26,0.074826,0.076384,0.069837,0.071396,0.045293,4690912
1962-12-03,0.072020,0.073890,0.071396,0.071396,0.045293,2846621
1962-12-10,0.071396,0.072331,0.069214,0.069837,0.044304,2044756
1962-12-17,0.069837,0.074501,0.069214,0.073217,0.046448,3201232
1962-12-24,0.073538,0.077070,0.073538,0.075465,0.048048,2530157
1962-12-31,0.074501,0.079639,0.071290,0.079639,0.050705,3853624
1963-01-07,0.079639,0.083172,0.077713,0.082851,0.052750,5060314
1963-01-14,0.082851,0.087989,0.081566,0.085741,0.054590,5254941
1963-01-21,0.085741,0.086383,0.080282,0.082208,0.052341,3970399
1963-01-28,0.082208,0.083493,0.080924,0.081887,0.052137,2491231
1963-02-04,0.081887,0.082851,0.079639,0.079960,0.050910,3191889
1963-02-11,0.080282,0.084777,0.079960,0.084777,0.053977,2919411
1963-02-18,0.085741,0.088631,0.085741,0.087989,0.056022,4593208
1963-02-25,0.087989,0.090879,0.083493,0.084135,0.053568,5916674
1963-03-04,0.084135,0.088310,0.084135,0.087667,0.055817,2724784
1963-03-11,0.087989,0.091200,0.087346,0.087346,0.055612,2335529
1963-03-18,0.087346,0.089273,0.085098,0.086704,0.055364,1868423
1963-03-25,0.086704,0.088310,0.086062,0.087025,0.055569,1518093
1963-04-01,0.087025,0.089594,0.086704,0.088631,0.056594,1673796
1963-04-08,0.088631,0.089594,0.086062,0.086383,0.055159,2763710
1963-04-15,0.086383,0.087346,0.085098,0.085420,0.054544,1985199
1963-04-22,0.085420,0.085420,0.082851,0.085098,0.054339,2374455
1963-04-29,0.086062,0.094411,0.085420,0.093127,0.059465,6656259
1963-05-06,0.093127,0.093769,0.090236,0.091521,0.058440,3152964
1963-05-13,0.091521,0.092806,0.089915,0.089915,0.057414,1595944
1963-05-20,0.089594,0.092484,0.089273,0.090558,0.057825,3075114
1963-05-27,0.090236,0.090558,0.088952,0.089915,0.057414,2569082
1963-06-03,0.089915,0.092163,0.087989,0.092163,0.058850,4593208
1963-06-10,0.092163,0.097944,0.091842,0.095696,0.061281,7512620
1963-06-17,0.096338,0.101155,0.096338,0.099870,0.063954,6111302
1963-06-24,0.099870,0.101476,0.094090,0.096980,0.062103,4009325
1963-07-01,0.096338,0.100191,0.095053,0.098907,0.063337,2374454
1963-07-08,0.098907,0.106293,0.096980,0.101797,0.065188,13001115
1963-07-15,0.101797,0.102760,0.096980,0.098265,0.062926,4165027
1963-07-22,0.098265,0.101476,0.095696,0.099549,0.063748,3581145
1963-07-29,0.100513,0.103082,0.099228,0.099870,0.063954,3814698
1963-08-05,0.099870,0.109183,0.099870,0.109183,0.069918,23510998
1963-08-12,0.109504,0.115605,0.109504,0.110467,0.070740,15025240
1963-08-19,0.111752,0.113679,0.110789,0.112073,0.071768,4476431
1963-08-26,0.112073,0.117211,0.112073,0.114963,0.073619,7551546
1963-09-02,0.114963,0.115605,0.109183,0.111110,0.071152,4242879
1963-09-09,0.110467,0.116569,0.106935,0.116569,0.074818,10081703
1963-09-16,0.116569,0.119138,0.110467,0.110467,0.070902,5060314
1963-09-23,0.110467,0.111431,0.107898,0.108541,0.069666,4671058
1963-09-30,0.108541,0.115605,0.105972,0.114000,0.073170,4437506
1963-10-07,0.114000,0.114963,0.109825,0.112394,0.072139,3386517
1963-10-14,0.113358,0.115927,0.113358,0.115927,0.074406,17788952
1963-10-21,0.115927,0.116569,0.113036,0.113036,0.072551,5722047
1963-10-28,0.113036,0.114642,0.109825,0.111752,0.071727,3581145
1963-11-04,0.111752,0.114000,0.107256,0.114000,0.073170,3114039
1963-11-11,0.114000,0.114963,0.107898,0.107898,0.069253,6773036
1963-11-18,0.107898,0.107898,0.098586,0.098586,0.063276,6928737
1963-11-25,0.102760,0.109183,0.102760,0.109183,0.070078,4943538
1963-12-02,0.109183,0.109825,0.104045,0.104045,0.066780,3464367
1963-12-09,0.104045,0.105651,0.102118,0.102760,0.065955,2296604
1963-12-16,0.102760,0.102760,0.096980,0.098265,0.063224,3230816
1963-12-23,0.098265,0.100191,0.096659,0.096980,0.062398,4087177
1963-12-30,0.096980,0.105972,0.096980,0.105329,0.067770,3697921
1964-01-06,0.105329,0.105329,0.100834,0.102118,0.065704,4671058
1964-01-13,0.101476,0.102118,0.098586,0.099549,0.064051,3191890
1964-01-20,0.100191,0.103403,0.100191,0.102760,0.066117,4165028
1964-01-27,0.102760,0.103724,0.100191,0.100513,0.064671,2101976
1964-02-03,0.101476,0.107577,0.101476,0.106614,0.068596,4826760
1964-02-10,0.106935,0.107898,0.104045,0.105651,0.067977,3542220
1964-02-17,0.105651,0.106935,0.105329,0.105329,0.067770,2374455
1964-02-24,0.105651,0.107256,0.102760,0.103403,0.066530,2919412
1964-03-02,0.103082,0.103082,0.099549,0.102760,0.066117,2335529
1964-03-09,0.102760,0.105008,0.102760,0.104045,0.066943,3075112
1964-03-16,0.104045,0.115605,0.103403,0.112394,0.072494,14441359
1964-03-23,0.113036,0.118174,0.113036,0.118174,0.076222,7785098
1964-03-30,0.118174,0.118817,0.112394,0.116569,0.075187,5916674
1964-04-06,0.116569,0.122991,0.113036,0.122028,0.078708,18489610
1964-04-13,0.123313,0.127166,0.118496,0.120101,0.077465,12572935
1964-04-20,0.120422,0.124276,0.118174,0.119459,0.077051,10276330
1964-04-27,0.118174,0.118496,0.113358,0.114963,0.074151,6850887
1964-05-04,0.115605,0.121386,0.115605,0.120743,0.077879,7006589
1964-05-11,0.120743,0.120743,0.113679,0.115284,0.074358,5332792
1964-05-18,0.115284,0.115605,0.109504,0.113679,0.073323,4904613
1964-05-25,0.113036,0.113036,0.108220,0.108862,0.070216,1985200
1964-06-01,0.107898,0.107898,0.104366,0.104687,0.067523,5566345
1964-06-08,0.104366,0.105008,0.097622,0.102118,0.065866,12534008
1964-06-15,0.102760,0.107898,0.102760,0.105651,0.068314,12378307
