Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,6.009615,6.109776,5.608974,5.709135,0.965257,1024608
1962-01-08,5.709135,5.789263,5.528846,5.689103,0.961871,1336608
1962-01-15,5.699119,5.819311,5.629006,5.779247,0.977111,1055808
1962-01-22,5.789263,5.869391,5.669071,5.719151,0.966951,985920
1962-01-29,5.719151,6.039663,5.709135,5.999599,1.014367,1089504
1962-02-05,5.989583,6.049679,5.889423,6.019631,1.017754,924768
1962-02-12,6.019631,6.250000,5.989583,6.189904,1.046543,980928
1962-02-19,6.189904,6.219952,6.039663,6.049679,1.022835,666432
1962-02-26,6.049679,6.169872,5.919471,6.129808,1.036382,751296
1962-03-05,6.139824,6.280048,6.029647,6.270032,1.060089,884832
1962-03-12,6.270032,6.290064,6.179888,6.280048,1.061783,926016
1962-03-19,6.280048,6.280048,6.169872,6.250000,1.063488,732576
1962-03-26,6.239984,6.290064,6.119792,6.159856,1.048149,796224
1962-04-02,6.149840,6.149840,6.019631,6.079728,1.034515,922272
1962-04-09,6.079728,6.099760,5.819311,5.989583,1.019176,877344
1962-04-16,5.989583,5.999599,5.889423,5.939503,1.010654,937248
1962-04-23,5.939503,5.959535,5.649038,5.689103,0.968046,1216800
1962-04-30,5.689103,5.789263,5.408654,5.749199,0.978273,1743456
1962-05-07,5.749199,5.759215,5.528846,5.548878,0.944186,1542528
1962-05-14,5.548878,5.759215,5.478766,5.759215,0.979976,1259232
1962-05-21,5.759215,5.759215,5.218349,5.278446,0.898170,1334112
1962-05-28,5.258413,5.368590,4.807692,5.288462,0.899873,2388672
1962-06-04,5.278446,5.288462,5.008013,5.208333,0.886240,1223040
1962-06-11,5.208333,5.258413,4.807692,5.028045,0.855562,1346592
1962-06-18,5.018029,5.018029,4.437099,4.447115,0.762589,1543776
1962-06-25,4.447115,4.837740,4.346955,4.767628,0.817551,1825824
1962-07-02,4.767628,5.148237,4.737580,5.038061,0.863925,1059552
1962-07-09,5.038061,5.258413,4.947917,5.158253,0.884535,1312896
1962-07-16,5.148237,5.148237,4.897837,5.028045,0.862207,796224
1962-07-23,5.038061,5.158253,4.907853,5.098157,0.874230,697632
1962-07-30,5.098157,5.368590,5.098157,5.368590,0.920603,1008384
1962-08-06,5.358574,5.358574,5.158253,5.318510,0.912017,863616
1962-08-13,5.318510,5.478766,5.248397,5.458734,0.936062,964704
1962-08-20,5.458734,5.598958,5.408654,5.448718,0.934345,962208
1962-08-27,5.448718,5.498798,5.368590,5.488782,0.941215,748800
1962-09-03,5.488782,5.498798,5.178285,5.348558,0.917169,789984
1962-09-10,5.348558,5.488782,5.278446,5.418670,0.929191,685152
1962-09-17,5.418670,5.498798,5.238381,5.248397,0.899992,837408
1962-09-24,5.228365,5.228365,4.967949,5.118189,0.884154,1100736
1962-10-01,5.118189,5.408654,5.048077,5.378606,0.929140,758784
1962-10-08,5.388622,5.458734,5.248397,5.278446,0.911838,695136
1962-10-15,5.278446,5.428686,5.208333,5.238381,0.904917,993408
1962-10-22,5.238381,5.408654,5.088141,5.358574,0.925680,1332864
1962-10-29,5.378606,5.578926,5.378606,5.568910,0.962015,1233024
1962-11-05,5.568910,5.639022,5.468750,5.578926,0.963745,864864
1962-11-12,5.729167,5.829327,5.719151,5.829327,1.007002,1320384
1962-11-19,5.799279,6.049679,5.749199,6.029647,1.041606,876096
1962-11-26,6.029647,6.039663,5.879407,5.989583,1.034686,975936
1962-12-03,5.989583,6.129808,5.939503,6.089744,1.051988,1193088
1962-12-10,6.089744,6.219952,5.989583,6.169872,1.065830,1037088
1962-12-17,6.169872,6.199920,5.969551,6.079728,1.050258,780000
1962-12-24,6.079728,6.169872,6.069712,6.169872,1.072795,529152
1962-12-31,6.159856,6.209936,6.059696,6.189904,1.076280,924768
1963-01-07,6.169872,6.350160,6.089744,6.320112,1.098920,1619904
1963-01-14,6.320112,6.330128,6.229968,6.280048,1.091953,869856
1963-01-21,6.280048,6.360176,6.239984,6.330128,1.100660,812448
1963-01-28,6.330128,6.360176,6.179888,6.250000,1.086729,691392
1963-02-04,6.250000,6.310096,6.199920,6.300080,1.095437,811200
1963-02-11,6.300080,6.340144,6.229968,6.330128,1.100660,798720
1963-02-18,6.330128,6.330128,5.969551,6.149840,1.069313,693888
1963-02-25,6.099760,6.099760,5.819311,5.869391,1.020548,813696
1963-03-04,5.869391,5.999599,5.749199,5.939503,1.032740,747552
1963-03-11,5.939503,6.019631,5.859375,5.899439,1.025774,688896
1963-03-18,5.899439,5.909455,5.789263,5.869391,1.027398,642720
1963-03-25,5.869391,6.009615,5.859375,5.979567,1.046684,871104
1963-04-01,5.979567,6.179888,5.829327,6.149840,1.076491,1116960
1963-04-08,6.149840,6.179888,6.039663,6.089744,1.065970,745056
1963-04-15,6.109776,6.270032,6.109776,6.229968,1.090516,978432
1963-04-22,6.229968,6.410256,6.219952,6.330128,1.108048,1691040
1963-04-29,6.330128,6.490385,6.270032,6.440304,1.127333,1381536
1963-05-06,6.450321,6.620593,6.410256,6.550481,1.146619,1246752
